date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:56:08	2590/2590	---M--	200	added ('OK')	text/xml	date:Tue,%2007%20Jan%202020%2004:56:07%20GMT	http://www.xaviercochet.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.xaviercochet.fr%2Frevue-de-sam-2002-2008%2F&format=xml	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-json/oembed/1.0/embed33fd	(from http://www.xaviercochet.fr/revue-de-sam-2002-2008/)
05:56:11	42609/42609	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:08%20GMT	http://www.xaviercochet.fr/tag/revue-de-sam/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/revue-de-sam/index.html	(from http://www.xaviercochet.fr/revue-de-sam-2002-2008/)
05:56:12	45887/45887	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:08%20GMT	http://www.xaviercochet.fr/revue-de-sam-2002-2008/?shared=email%26msg=fail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/revue-de-sam-2002-2008/index62e6.html	(from http://www.xaviercochet.fr/revue-de-sam-2002-2008/?share=email)
05:56:13	2196/2196	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/pole-sportif/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/pole-sportif/feed/index.html	(from http://www.xaviercochet.fr/tag/pole-sportif/)
05:56:14	2210/2210	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/terrain-syntehtique/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/terrain-syntehtique/feed/index.html	(from http://www.xaviercochet.fr/tag/terrain-syntehtique/)
05:56:14	10056/10056	---MC-	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/elections-municipales-2009-a-saint-mihiel/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/elections-municipales-2009-a-saint-mihiel/feed/index.html	(from http://www.xaviercochet.fr/tag/elections-municipales-2009-a-saint-mihiel/)
05:56:16	148568/148568	---M--	200	added ('OK')	application/pdf	etag:%22109fd3016-24458-4f1724c07fbc0%22	http://www.xaviercochet.fr/reveillersaintmihiel/wp-content/uploads/2011/03/cantonales_2011-economie-ecologie-solidarite-cadre_de_vie.pdf	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/reveillersaintmihiel/wp-content/uploads/2011/03/cantonales_2011-economie-ecologie-solidarite-cadre_de_vie.pdf	(from http://www.xaviercochet.fr/cantonales-un-programme-construit/)
05:56:18	2435/2435	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/municiplaes-saint-mihiel/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/municiplaes-saint-mihiel/feed/index.html	(from http://www.xaviercochet.fr/tag/municiplaes-saint-mihiel/)
05:56:18	2403/2403	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/internet/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/internet/feed/index.html	(from http://www.xaviercochet.fr/tag/internet/)
05:56:18	50797/50797	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:15%20GMT	http://www.xaviercochet.fr/pole-sportif-des-avrils-travaux-lourds-en-vue/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/pole-sportif-des-avrils-travaux-lourds-en-vue/indexfb4f.html	(from http://www.xaviercochet.fr/pole-sportif-des-avrils-travaux-lourds-en-vue/?shared=email%26msg=fail)
